Ciudad,Punto,Manzana,Estrato,Latitud,Longitud
Medellin y Valle de Aburra,1 - Bajo,0500110000000013050427,Bajo,6.2658831283,-75.6115091577
Medellin y Valle de Aburra,2 - Bajo,0538010000000000020639,Bajo,6.1534930243,-75.6466970214
Medellin y Valle de Aburra,3 - Bajo,0500110000000003030201,Bajo,6.27424571192,-75.549906423
Medellin y Valle de Aburra,4 - Bajo,0500110000000060540129,Bajo,6.27336008446,-75.6125275775
Medellin y Valle de Aburra,5 - Bajo,0508810000000033040106,Bajo,6.34329219448,-75.5632793245
Medellin y Valle de Aburra,6 - Bajo,0500110000000013120606,Bajo,6.24956347042,-75.6220967868
Medellin y Valle de Aburra,7 - Medio,0526610000000000250327,Medio,6.17308331234,-75.5719230273
Medellin y Valle de Aburra,8 - Medio,0508810000000052010301,Medio,6.34089942894,-75.5540327222
Medellin y Valle de Aburra,9 - Medio,0500110000000004130102,Medio,6.28249019869,-75.5582776535
Medellin y Valle de Aburra,10 - Alto,0500110000000014160240,Alto,6.19259307738,-75.5692811874
Medellin y Valle de Aburra,11 - Alto,0538010000000000040301,Alto,6.138528142,-75.6437599775
Bogota y Soacha,12 - Alto,1100110000000072010206,Alto,4.65023270334,-74.0759298883
Bogota y Soacha,13 - Alto,1100110000000085130105,Alto,4.71485446818,-74.0334818245
Bogota y Soacha,14 - Alto,1100110000000085020239,Alto,4.74055126051,-74.0362445354
Bogota y Soacha,15 - Alto,1100110000000091040235,Alto,4.7333593614,-74.0520978732
