ciudad,Punto,Manzana,Estrato,Latitud,Longitud
Medellin y Valle de Aburra,1 - bajo,0500110000000008060237,bajo,6.25127022,-75.55128274
Medellin y Valle de Aburra,2 - bajo,0500110000000016180416,bajo,6.231965018,-75.61539272
Medellin y Valle de Aburra,3 - bajo,0500110000000014120531,bajo,6.190498902,-75.55559495
Medellin y Valle de Aburra,4 - bajo,0500110000000006020126,bajo,6.303973949,-75.58027035
Medellin y Valle de Aburra,5 - medio,0526610000000000190116,medio,6.161835749,-75.58699673
Medellin y Valle de Aburra,6 - medio,0500110000000003030304,medio,6.272634242,-75.55072706
Medellin y Valle de Aburra,7 - medio,0508810000000021020202,medio,6.315951453,-75.56598468
Medellin y Valle de Aburra,8 - medio,0500110000000004080103,medio,6.268560923,-75.559115
Medellin y Valle de Aburra,9 - alto,0500110000000015100109,alto,6.201835874,-75.58723546
Medellin y Valle de Aburra,10 - alto,0500110000000012120123,alto,6.244105788,-75.61371516
Medellin y Valle de Aburra,11 - alto,0500110000000011100511,alto,6.238001243,-75.59913259
Medellin y Valle de Aburra,12 - alto,0500110000000014110118,alto,6.197041884,-75.5590251
